Time,Node,X,Y,ElectricField,MagneticField
0.06,22,0.222222,0.222222,0,0
0.06,23,0.333333,0.222222,0,0
0.06,24,0.444444,0.222222,0,0
0.06,25,0.555556,0.222222,0,0
0.06,26,0.666667,0.222222,0,0
0.06,27,0.777778,0.222222,0,0
0.06,28,0.888889,0.222222,0,0
0.06,29,1,0.222222,0,0
0.06,30,0,0.333333,0,0
0.06,31,0.111111,0.333333,0,0
0.06,32,0.222222,0.333333,0,0
0.06,33,0.333333,0.333333,0,0
0.06,34,0.444444,0.333333,0,0
0.06,35,0.555556,0.333333,0,0
0.06,36,0.666667,0.333333,0,0
0.06,37,0.777778,0.333333,0,0
0.06,38,0.888889,0.333333,0,0
0.06,39,1,0.333333,0,0
0.06,40,0,0.444444,0,0
0.06,41,0.111111,0.444444,0,0
0.06,42,0.222222,0.444444,0,0
0.06,43,0.333333,0.444444,0,0
0.06,44,0.444444,0.444444,0,0
0.06,45,0.555556,0.444444,0,0
0.06,46,0.666667,0.444444,0,0
0.06,47,0.777778,0.444444,0,0
0.06,48,0.888889,0.444444,0,0
0.06,49,1,0.444444,0,0
0.06,50,0,0.555556,0,0
0.06,51,0.111111,0.555556,0,0
0.06,52,0.222222,0.555556,0,0
0.06,53,0.333333,0.555556,0,0
0.06,54,0.444444,0.555556,0,0
0.06,55,0.555556,0.555556,0,0
0.06,56,0.666667,0.555556,0,0
0.06,57,0.777778,0.555556,0,0
0.06,58,0.888889,0.555556,0,0
0.06,59,1,0.555556,0,0
0.06,60,0,0.666667,0,0
0.06,61,0.111111,0.666667,0,0
0.06,62,0.222222,0.666667,0,0
0.06,63,0.333333,0.666667,0,0
0.06,64,0.444444,0.666667,0,0
0.06,65,0.555556,0.666667,0,0
0.06,66,0.666667,0.666667,0,0
0.06,67,0.777778,0.666667,0,0
0.06,68,0.888889,0.666667,0,0
0.06,69,1,0.666667,0,0
0.06,70,0,0.777778,0,0
0.06,71,0.111111,0.777778,0,0
0.06,72,0.222222,0.777778,0,0
0.06,73,0.333333,0.777778,0,0
0.06,74,0.444444,0.777778,0,0
0.06,75,0.555556,0.777778,0,0
0.06,76,0.666667,0.777778,0,0
0.06,77,0.777778,0.777778,0,0
0.06,78,0.888889,0.777778,0,0
0.06,79,1,0.777778,0,0
0.06,80,0,0.888889,0,0
0.06,81,0.111111,0.888889,0,0
0.06,82,0.222222,0.888889,0,0
0.06,83,0.333333,0.888889,0,0
0.06,84,0.444444,0.888889,0,0
0.06,85,0.555556,0.888889,0,0
0.06,86,0.666667,0.888889,0,0
0.06,87,0.777778,0.888889,0,0
0.06,88,0.888889,0.888889,0,0
0.06,89,1,0.888889,0,0
0.06,90,0,1,0,0
0.06,91,0.111111,1,0,0
0.06,92,0.222222,1,0,0
0.06,93,0.333333,1,0,0
0.06,94,0.444444,1,0,0
0.06,95,0.555556,1,0,0
0.06,96,0.666667,1,0,0
0.06,97,0.777778,1,0,0
0.06,98,0.888889,1,0,0
0.06,99,1,1,0,0
0.07,0,0,0,0,0
0.07,1,0.111111,0,0,0
0.07,2,0.222222,0,0,0
0.07,3,0.333333,0,0,0
0.07,4,0.444444,0,0,0
0.07,5,0.555556,0,0,0
0.07,6,0.666667,0,0,0
0.07,7,0.777778,0,0,0
0.07,8,0.888889,0,0,0
0.07,9,1,0,0,0
0.07,10,0,0.111111,0,0
0.07,11,0.111111,0.111111,0,0
0.07,12,0.222222,0.111111,0,0
0.07,13,0.333333,0.111111,0,0
0.07,14,0.444444,0.111111,0,0
0.07,15,0.555556,0.111111,0,0
0.07,16,0.666667,0.111111,0,0
0.07,17,0.777778,0.111111,0,0
0.07,18,0.888889,0.111111,0,0
0.07,19,1,0.111111,0,0
0.07,20,0,0.222222,0,0
0.07,21,0.111111,0.222222,0,0
0.07,22,0.222222,0.222222,0,0
0.07,23,0.333333,0.222222,0,0
0.07,24,0.444444,0.222222,0,0
0.07,25,0.555556,0.222222,0,0
0.07,26,0.666667,0.222222,0,0
0.07,27,0.777778,0.222222,0,0
0.07,28,0.888889,0.222222,0,0
0.07,29,1,0.222222,0,0
0.07,30,0,0.333333,0,0
0.07,31,0.111111,0.333333,0,0
0.07,32,0.222222,0.333333,0,0
0.07,33,0.333333,0.333333,0,0
0.07,34,0.444444,0.333333,0,0
0.07,35,0.555556,0.333333,0,0
0.07,36,0.666667,0.333333,0,0
0.07,37,0.777778,0.333333,0,0
0.07,38,0.888889,0.333333,0,0
0.07,39,1,0.333333,0,0
0.07,40,0,0.444444,0,0
0.07,41,0.111111,0.444444,0,0
0.07,42,0.222222,0.444444,0,0
0.07,43,0.333333,0.444444,0,0
0.07,44,0.444444,0.444444,0,0
